----------------------  ------------------------------
light,"                 ('Genesis', '1', '3')
"day,"                  ('Genesis', '1', '5')
"night."                ('Genesis', '1', '5')
"sky."                  ('Genesis', '1', '8')
appear."                ('Genesis', '1', '9')
"land,"                 ('Genesis', '1', '10')
"seas."                 ('Genesis', '1', '10')
kinds."                 ('Genesis', '1', '11')
lights-the              ('Genesis', '1', '16')
teems,                  ('Genesis', '1', '21')
kind."                  ('Genesis', '1', '24')
ground-everything       ('Genesis', '1', '30')
it-i                    ('Genesis', '1', '30')
array.                  ('Genesis', '2', '1')
shrub                   ('Genesis', '2', '5')
sprung                  ('Genesis', '2', '5')
ground-                 ('Genesis', '2', '6')
formed.                 ('Genesis', '2', '8')
ground-trees            ('Genesis', '2', '9')
headwaters.             ('Genesis', '2', '10')
pishon;                 ('Genesis', '2', '11')
aromatic                ('Genesis', '2', '12')
resin                   ('Genesis', '2', '12')
gihon;                  ('Genesis', '2', '13')
tigris;                 ('Genesis', '2', '14')
rib                     ('Genesis', '2', '22')
'woman,                 ('Genesis', '2', '23')
garden'?"               ('Genesis', '3', '1')
hid."                   ('Genesis', '3', '10')
naked?                  ('Genesis', '3', '11')
me-she                  ('Genesis', '3', '12')
ate."                   ('Genesis', '3', '13')
enmity                  ('Genesis', '3', '15')
heel."                  ('Genesis', '3', '15')
childbearing;           ('Genesis', '3', '16')
it,'"cursed             ('Genesis', '3', '17')
cain.                   ('Genesis', '4', '1')
downcast?               ('Genesis', '4', '6')
accepted?               ('Genesis', '4', '7')
door;                   ('Genesis', '4', '7')
abel?i                  ('Genesis', '4', '9')
keeper?"                ('Genesis', '4', '9')
nod,                    ('Genesis', '4', '16')
irad,                   ('Genesis', '4', '18')
irad                    ('Genesis', '4', '18')
mehujael,               ('Genesis', '4', '18')
mehujael                ('Genesis', '4', '18')
methushael,             ('Genesis', '4', '18')
methushael              ('Genesis', '4', '18')
zillah.                 ('Genesis', '4', '19')
jabal;                  ('Genesis', '4', '20')
jubal;                  ('Genesis', '4', '21')
zillah                  ('Genesis', '4', '22')
tubal-cain,             ('Genesis', '4', '22')
tools                   ('Genesis', '4', '22')
tubal-cain's            ('Genesis', '4', '22')
naamah.                 ('Genesis', '4', '22')
"adah                   ('Genesis', '4', '23')
zillah,                 ('Genesis', '4', '23')
wounding                ('Genesis', '4', '23')
adam's                  ('Genesis', '5', '1')
"man.                   ('Genesis', '5', '2')
image;                  ('Genesis', '5', '3')
seth.                   ('Genesis', '5', '3')
930                     ('Genesis', '5', '5')
105                     ('Genesis', '5', '6')
807                     ('Genesis', '5', '7')
912                     ('Genesis', '5', '8')
90                      ('Genesis', '5', '9')
kenan.                  ('Genesis', '5', '9')
815                     ('Genesis', '5', '10')
905                     ('Genesis', '5', '11')
mahalalel.              ('Genesis', '5', '12')
840                     ('Genesis', '5', '13')
910                     ('Genesis', '5', '14')
jared.                  ('Genesis', '5', '15')
830                     ('Genesis', '5', '16')
895                     ('Genesis', '5', '17')
162                     ('Genesis', '5', '18')
962                     ('Genesis', '5', '20')
methuselah.             ('Genesis', '5', '21')
365                     ('Genesis', '5', '23')
187                     ('Genesis', '5', '25')
782                     ('Genesis', '5', '26')
969                     ('Genesis', '5', '27')
182                     ('Genesis', '5', '28')
595                     ('Genesis', '5', '30')
777                     ('Genesis', '5', '31')
chose.                  ('Genesis', '6', '2')
mortal;                 ('Genesis', '6', '3')
days-and                ('Genesis', '6', '4')
afterward-when          ('Genesis', '6', '4')
renown.                 ('Genesis', '6', '4')
earth-men               ('Genesis', '6', '7')
air-for                 ('Genesis', '6', '7')
75                      ('Genesis', '6', '15')
45                      ('Genesis', '6', '15')
inches                  ('Genesis', '6', '16')
decks.                  ('Genesis', '6', '16')
ark-you                 ('Genesis', '6', '18')
month-on                ('Genesis', '7', '11')
floated                 ('Genesis', '7', '18')
feet.,                  ('Genesis', '7', '20')
perished-birds,         ('Genesis', '7', '21')
flooded                 ('Genesis', '7', '24')
receded.                ('Genesis', '8', '1')
recede                  ('Genesis', '8', '5')
beak                    ('Genesis', '8', '11')
freshly                 ('Genesis', '8', '11')
plucked                 ('Genesis', '8', '11')
leaf!                   ('Genesis', '8', '11')
ground-so               ('Genesis', '8', '17')
birds-everything        ('Genesis', '8', '19')
earth-came              ('Genesis', '8', '19')
heart:                  ('Genesis', '8', '21')
endures,                ('Genesis', '8', '22')
seedtime                ('Genesis', '8', '22')
cease."                 ('Genesis', '8', '22')
accounting.             ('Genesis', '9', '5')
shed;                   ('Genesis', '9', '6')
you-every               ('Genesis', '9', '10')
(ham                    ('Genesis', '9', '18')
canaan.)                ('Genesis', '9', '18')
canaan!                 ('Genesis', '9', '25')
shem!                   ('Genesis', '9', '26')
slave."                 ('Genesis', '9', '27')
350                     ('Genesis', '9', '28')
950                     ('Genesis', '9', '29')
maritime                ('Genesis', '10', '5')
language.)              ('Genesis', '10', '5')
sabtah,                 ('Genesis', '10', '7')
centers                 ('Genesis', '10', '10')
erech,                  ('Genesis', '10', '10')
akkad                   ('Genesis', '10', '10')
calneh,                 ('Genesis', '10', '10')
shinar.                 ('Genesis', '10', '10')
calah                   ('Genesis', '10', '11')
resen,                  ('Genesis', '10', '12')
calah;                  ('Genesis', '10', '12')
lasha.                  ('Genesis', '10', '19')
sephar,                 ('Genesis', '10', '30')
thoroughly."            ('Genesis', '11', '3')
babel                   ('Genesis', '11', '9')
-because                ('Genesis', '11', '9')
confused                ('Genesis', '11', '9')
arphaxad.               ('Genesis', '11', '10')
35                      ('Genesis', '11', '12')
34                      ('Genesis', '11', '16')
peleg.                  ('Genesis', '11', '16')
reu.                    ('Genesis', '11', '18')
209                     ('Genesis', '11', '19')
serug.                  ('Genesis', '11', '20')
207                     ('Genesis', '11', '21')
119                     ('Genesis', '11', '25')
milcah;                 ('Genesis', '11', '29')
iscah.                  ('Genesis', '11', '29')
205                     ('Genesis', '11', '32')
