------------------  --------------------
teems               Genesis 1:21
shrub               Genesis 2:5
sprung              Genesis 2:5
headwaters          Genesis 2:10
pishon              Genesis 2:11
aromatic            Genesis 2:12
rib                 Genesis 2:22
enmity              Genesis 3:15
itcursed            Genesis 3:17
abeli               Genesis 4:9
nod                 Genesis 4:16
jabal               Genesis 4:20
jubal               Genesis 4:21
tools               Genesis 4:22
cains               Genesis 4:22
wounding            Genesis 4:23
adams               Genesis 5:1
930                 Genesis 5:5
105                 Genesis 5:6
807                 Genesis 5:7
912                 Genesis 5:8
815                 Genesis 5:10
905                 Genesis 5:11
840                 Genesis 5:13
910                 Genesis 5:14
830                 Genesis 5:16
895                 Genesis 5:17
162                 Genesis 5:18
962                 Genesis 5:20
365                 Genesis 5:23
187                 Genesis 5:25
782                 Genesis 5:26
969                 Genesis 5:27
182                 Genesis 5:28
595                 Genesis 5:30
777                 Genesis 5:31
75                  Genesis 6:15
45                  Genesis 6:15
inches              Genesis 6:16
decks               Genesis 6:16
floated             Genesis 7:18
flooded             Genesis 7:24
recede              Genesis 8:5
beak                Genesis 8:11
freshly             Genesis 8:11
plucked             Genesis 8:11
seedtime            Genesis 8:22
350                 Genesis 9:28
950                 Genesis 9:29
maritime            Genesis 10:5
sabtah              Genesis 10:7
centers             Genesis 10:10
akkad               Genesis 10:10
resen               Genesis 10:12
lasha               Genesis 10:19
sephar              Genesis 10:30
babel               Genesis 11:9
confused            Genesis 11:9
35                  Genesis 11:12
34                  Genesis 11:16
209                 Genesis 11:19
207                 Genesis 11:21
119                 Genesis 11:25
iscah               Genesis 11:29
205                 Genesis 11:32
bera                Genesis 14:2
birsha              Genesis 14:2
shinab              Genesis 14:2
shemeber            Genesis 14:2
ashteroth           Genesis 14:5
zuzites             Genesis 14:5
mishpat             Genesis 14:7
318                 Genesis 14:14
hobah               Genesis 14:15
smoking             Genesis 15:17
kenizzites          Genesis 15:19
kadmonites          Genesis 15:19
goingi              Genesis 16:8
servantvery         Genesis 18:5
peopleif            Genesis 18:28
morningno           Genesis 19:2
bowshot             Genesis 21:16
sob                 Genesis 21:16
kesed               Genesis 22:22
hazo                Genesis 22:22
pildash             Genesis 22:22
jidlaph             Genesis 22:22
reumah              Genesis 22:24
gaham               Genesis 22:24
tahash              Genesis 22:24
current             Genesis 23:16
townspeople         Genesis 24:13
unloaded            Genesis 24:32
saythen             Genesis 24:33
youshe              Genesis 24:47
himthen             Genesis 24:47
mani                Genesis 24:58
ushe                Genesis 24:65
asshurites          Genesis 25:3
letushites          Genesis 25:3
leummites           Genesis 25:3
jostled             Genesis 25:22
lentil              Genesis 25:34
caressing           Genesis 26:8
molests             Genesis 26:11
hundredfold         Genesis 26:12
reopened            Genesis 26:18
esek                Genesis 26:20
disputed            Genesis 26:20
sitnah              Genesis 26:21
ahuzzath            Genesis 26:26
shibah              Genesis 26:33
judith              Genesis 26:34
sonhere             Genesis 27:1
tricking            Genesis 27:12
sonthe              Genesis 27:20
consoling           Genesis 27:42
subsides            Genesis 27:44
disgusted           Genesis 27:46
fromwe              Genesis 29:4
grandsonyes         Genesis 29:5
wellyes             Genesis 29:6
shepherdess         Genesis 29:9
uncles              Genesis 29:10
bridal              Genesis 29:27
mandrake            Genesis 30:14
toovery             Genesis 30:15
stripes             Genesis 30:37
peeling             Genesis 30:37
exposing            Genesis 30:37
peeled              Genesis 30:38
mated               Genesis 30:39
females             Genesis 30:41
breeding            Genesis 31:10
