--------------------  ------------------------------
'-                    ['Job', '31', '31']
'aaron                ['Leviticus', '8', '31']
'about                ['Exodus', '11', '4']
'abraham              ['Ezekiel', '33', '24']
'absalom              ['2 Samuel', '15', '10']
'acts                 ['Matthew', '6', '1']
'again                ['Jeremiah', '23', '36']
'age                  ['Job', '32', '7']
'ah                   ['Jeremiah', '47', '6']
'all                  ['Leviticus', '11', '20']
'also                 ['2 Samuel', '11', '21']
'among                ['Leviticus', '10', '3']
'anything             ['Leviticus', '15', '20']
'arabia               ['Ezekiel', '27', '21']
'aram                 ['Ezekiel', '27', '16']
'ask                  ['Haggai', '2', '11']
'assemble             ['Ezekiel', '39', '17']
'belonging            ['Ezekiel', '37', '16']
'blind                ['2 Samuel', '5', '8']
'boast                ['Psalms', '75', '4']
'can                  ['Job', '4', '17']
'coming               ['2 Peter', '3', '4']
'cornelius            ['Acts', '10', '31']
'count                ['Leviticus', '25', '8']
'cries                ['Jeremiah', '30', '5']
'damascus             ['Ezekiel', '27', '18']
'danites              ['Ezekiel', '27', '19']
'dedan                ['Ezekiel', '27', '20']
'den                  ['Matthew', '21', '13']
'depart               ['Matthew', '25', '41']
'destroy              ['Deuteronomy', '33', '27']
'disaster             ['Amos', '9', '10']
'dogs                 ['1 Kings', '21', '23']
'dry                  ['Ezekiel', '37', '4']
'eight                ['Luke', '16', '6']
'ephraim              ['Ezekiel', '37', '16']
'everything           ['Leviticus', '15', '9']
'eye                  ['Matthew', '5', '38']
'far                  ['1 Samuel', '2', '30']
'follow               ['Leviticus', '25', '18']
'four                 ['John', '4', '35']
'freedom              ['Jeremiah', '34', '17']
'gather               ['Jeremiah', '4', '5']
'gentile              ['Galatians', '2', '15']
'gods                 ['John', '10', '35']
'grant                ['Luke', '18', '3']
'great                ['Malachi', '1', '5']
'greece               ['Ezekiel', '27', '13']
'guard                ['1 Kings', '20', '39']
'hand                 ['2 Samuel', '14', '7']
'haran                ['Ezekiel', '27', '23']
'has                  ['Isaiah', '10', '9']
'heaven               ['Acts', '7', '49']
'his                  ['Matthew', '28', '13']
'hitch                ['1 Kings', '18', '44']
